,close
马来西亚棕榈油局：毛棕榈仁油：炼油厂：产量：马来西亚（月）,0.5849545836775689
棕榈仁油：库存：马来西亚（月）,-0.47391423667188537
马来西亚棕榈油局：精炼棕榈油：RBD：44度：库存：马来西亚（月）,-0.45706697161646637
印尼棕榈油协会：棕榈油：期初库存（月）,-0.4473089501272269
马来西亚棕榈油局：精炼棕榈油：烹饪用：产量：马来西亚（月）,0.40735020557092005
USDA：棕榈油：精炼：期末库存（月）,0.37581320764044807
马来西亚棕榈油局：初榨棕榈油：提取率：马来西亚（月）,0.3620195831457833
马来西亚棕榈油局：棕榈油硬脂：44度：产量：马来西亚（月）,-0.318147129368624
马来西亚棕榈油局：棕榈油脂肪酸：库存：马来西亚（月）,-0.28477182593118844
马来西亚棕榈油局：棕榈液油：24度：库存：马来西亚（月）,0.2545404119678922
棕榈油：库存：中国（周）,-0.18491669067413558
马来西亚棕榈油局：精炼棕榈油：RBD：24度：库存：马来西亚（月）,-0.1801724251715749
马来西亚棕榈油局：毛棕榈仁油：提取率：马来西亚（月）,-0.15709492077234388
